BUSINESS_TYPE	SUBTYPE	SUBTYPE_PATTERN	PARENT_BUSINESS_TYPE	PARENT_TYPE	RESTRICTED_PARENT_BT	USE_NAMING_RULE	SUBTYPE_DESC	PARENT_SUBTYPE	CHECK_PARENT_APN
Elementary Part	BlankPart	[A-Z0-9]{6}H[0-9]{4}[A-Z0-9]{4}	Elementary Part	NA	NA	YES	NA	ElementaryPart	NO
Elementary Part	BlankPart	[A-Z0-9]{6}H[0-9]{4}[A-Z0-9]{4}	Storable Assembly	NA	NA	YES	NA	NA	NO
Elementary Part	BlankPart	[A-Z0-9]{6}H[0-9]{4}[A-Z0-9]{4}	Specialized Item	NA	NA	YES	NA	NA	NO
Elementary Part	ElementaryPart	[A-Z0-9]{6}F[0-9]{4}[A-Z0-9]{4}	Storable Assembly	NA	NA	NO	NA	NA	NO
Elementary Part	ElementaryPart	[A-Z0-9]{6}F[0-9]{4}[A-Z0-9]{4}	Specialized Item	NA	NA	NO	NA	NA	NO
Elementary Part	ElementaryPart	[A-Z0-9]{6}F[0-9]{4}[A-Z0-9]{4}	EM	NA	NA	NO	NA	NA	NO
Elementary Part	ElementaryPart	[A-Z0-9]{6}F[0-9]{4}[A-Z0-9]{4}	Refer To	NA	NA	NO	NA	NA	NO
Elementary Part	SheetMetalPart	[A-Z0-9]{6}F[0-9]{4}[A-Z0-9]{4}	Storable Assembly	NA	NA	NO	NA	NA	NO
Elementary Part	SheetMetalPart	[A-Z0-9]{6}F[0-9]{4}[A-Z0-9]{4}	Specialized Item	NA	NA	NO	NA	NA	NO
Elementary Part	SheetMetalPart	[A-Z0-9]{6}F[0-9]{4}[A-Z0-9]{4}	EM	NA	NA	NO	NA	NA	NO
Elementary Part	SheetMetalPart	[A-Z0-9]{6}F[0-9]{4}[A-Z0-9]{4}	Refer To	NA	NA	NO	NA	NA	NO
Elementary Part	MechanicalMachining	[A-Z0-9]{6}F[0-9]{4}[A-Z0-9]{4}	Storable Assembly	NA	NA	NO	NA	NA	NO
Elementary Part	MechanicalMachining	[A-Z0-9]{6}F[0-9]{4}[A-Z0-9]{4}	Specialized Item	NA	NA	NO	NA	NA	NO
Elementary Part	MechanicalMachining	[A-Z0-9]{6}F[0-9]{4}[A-Z0-9]{4}	EM	NA	NA	NO	NA	NA	NO
Elementary Part	MechanicalMachining	[A-Z0-9]{6}F[0-9]{4}[A-Z0-9]{4}	Refer To	NA	NA	NO	NA	NA	NO
Elementary Part	Composites	[A-Z0-9]{6}F[0-9]{4}[A-Z0-9]{4}	Storable Assembly	NA	NA	NO	NA	NA	NO
Elementary Part	Composites	[A-Z0-9]{6}F[0-9]{4}[A-Z0-9]{4}	Specialized Item	NA	NA	NO	NA	NA	NO
Elementary Part	Composites	[A-Z0-9]{6}F[0-9]{4}[A-Z0-9]{4}	EM	NA	NA	NO	NA	NA	NO
Elementary Part	Composites	[A-Z0-9]{6}F[0-9]{4}[A-Z0-9]{4}	Refer To	NA	NA	NO	NA	NA	NO
Elementary Part	3DPrinting	[A-Z0-9]{6}J[0-9]{4}[A-Z0-9]{4}	Storable Assembly	NA	NA	YES	NA	NA	NO
Elementary Part	3DPrinting	[A-Z0-9]{6}J[0-9]{4}[A-Z0-9]{4}	Specialized Item	NA	NA	YES	NA	NA	NO
Elementary Part	3DPrinting	[A-Z0-9]{6}J[0-9]{4}[A-Z0-9]{4}	EM	NA	NA	YES	NA	NA	NO
Elementary Part	3DPrinting	[A-Z0-9]{6}J[0-9]{4}[A-Z0-9]{4}	Refer To	NA	NA	YES	NA	NA	NO
Elementary Part	Pipe	[A-Z0-9]{6}F[0-9]{4}[A-Z0-9]{4}	Storable Assembly	NA	NA	NO	NA	NA	NO
Elementary Part	Pipe	[A-Z0-9]{6}F[0-9]{4}[A-Z0-9]{4}	Specialized Item	NA	NA	NO	NA	NA	NO
Elementary Part	Pipe	[A-Z0-9]{6}F[0-9]{4}[A-Z0-9]{4}	EM	NA	NA	NO	NA	NA	NO
Elementary Part	Pipe	[A-Z0-9]{6}F[0-9]{4}[A-Z0-9]{4}	Refer To	NA	NA	NO	NA	NA	NO
Elementary Part	NA	[A-Z0-9]{6}F[0-9]{4}[A-Z0-9]{4}	Storable Assembly	NA	NA	NO	NA	NA	NO
Elementary Part	NA	[A-Z0-9]{6}F[0-9]{4}[A-Z0-9]{4}	Specialized Item	NA	NA	NO	NA	NA	NO
Elementary Part	NA	[A-Z0-9]{6}F[0-9]{4}[A-Z0-9]{4}	EM	NA	NA	NO	NA	NA	NO
