OBJECT_TYPE	BUSINESS_TYPE	DEXT	DISPLAY	UPPER_LEVEL_NAMING
AIRBUS_E_VPMReference_EngineeringUpperLevel	EM	AIRBUS_E_DEXT_EM_ADAP_DS	TRUE	Y[0-9]{2}[A-PR-Z0-9]{2}[0-9]{4}-([8-9][0-9]{2})
AIRBUS_E_VPMReference_EngineeringUpperLevel	EM	AIRBUS_E_DEXT_Category	TRUE
AIRBUS_E_VPMReference_LowerLevel	Elementary Part	AIRBUS_E_DEXT_EPASSY_COMMON_ADAP	TRUE	
AIRBUS_E_VPMReference_LowerLevel	Elementary Part	AIRBUS_E_DEXT_EPASSY_COMMON_DEV	TRUE	
AIRBUS_E_VPMReference_LowerLevel	Elementary Part	AIRBUS_E_DEXT_EPASSY	TRUE	
AIRBUS_E_VPMReference_LowerLevel	Elementary Part	AIRBUS_E_DEXT_EPASSY_EPSA	TRUE	
AIRBUS_E_VPMReference_LowerLevel	Elementary Part	AIRBUS_E_DEXT_ValidationDate	TRUE	
AIRBUS_E_VPMReference_LowerLevel	Elementary Part	AIRBUS_E_DEXT_ReferenceStatus	TRUE	
AIRBUS_E_VPMReference_LowerLevel	Elementary Part	AIRBUS_E_DEXT_EPASSY_PRE_POST_COMMON_ADAP		 
AIRBUS_E_VPMReference_LowerLevel	Elementary Part	AIRBUS_E_DEXT_DDeVDerivedFrom	TRUE
AIRBUS_E_VPMReference_LowerLevel	Elementary Part	AIRBUS_E_DEXT_DDeVManual	TRUE
AIRBUS_E_VPMReference_LowerLevel	Elementary Part	AIRBUS_E_DEXT_DDeVType	TRUE
AIRBUS_E_VPMReference_LowerLevel	Elementary Part	AIRBUS_E_DEXT_EM_ADAP_DS	TRUE	
AIRBUS_E_VPMReference_LowerLevel	Storable Assembly	AIRBUS_E_DEXT_EPASSY_COMMON_ADAP	TRUE	
AIRBUS_E_VPMReference_LowerLevel	Storable Assembly	AIRBUS_E_DEXT_EPASSY_COMMON_DEV	TRUE	
AIRBUS_E_VPMReference_LowerLevel	Storable Assembly	AIRBUS_E_DEXT_EPASSY	TRUE	
AIRBUS_E_VPMReference_LowerLevel	Storable Assembly	AIRBUS_E_DEXT_EPASSY_EPSA	TRUE	
AIRBUS_E_VPMReference_LowerLevel	Storable Assembly	AIRBUS_E_DEXT_ValidationDate	TRUE	
AIRBUS_E_VPMReference_LowerLevel	Storable Assembly	AIRBUS_E_DEXT_ReferenceStatus	TRUE	
AIRBUS_E_VPMReference_LowerLevel	Storable Assembly	AIRBUS_E_DEXT_EPASSY_PRE_POST_COMMON_ADAP		
AIRBUS_E_VPMReference_LowerLevel	Storable Assembly	AIRBUS_E_DEXT_DDeVDerivedFrom	TRUE	
AIRBUS_E_VPMReference_LowerLevel	Storable Assembly	AIRBUS_E_DEXT_DDeVManual	TRUE	
AIRBUS_E_VPMReference_LowerLevel	Storable Assembly	AIRBUS_E_DEXT_DDeVType	TRUE	
AIRBUS_E_VPMReference_LowerLevel	Storable Assembly	AIRBUS_E_DEXT_EM_ADAP_DS	TRUE	
AIRBUS_E_VPMReference_LowerLevel	Early Data Drop	AIRBUS_E_DEXT_ReferenceStatus	TRUE	
AIRBUS_E_VPMReference_LowerLevel	Early Data Drop	AIRBUS_E_DEXT_EPASSY	TRUE	
AIRBUS_E_VPMReference_LowerLevel	Early Data Drop	AIRBUS_E_DEXT_ValidationDate	TRUE	
AIRBUS_E_VPMReference_LowerLevel	Early Data Drop	AIRBUS_E_DEXT_EM_ADAP_DS	TRUE	
AIRBUS_E_VPMReference_LowerLevel	Undefined	AIRBUS_E_DEXT_EPASSY	TRUE	
AIRBUS_E_VPMReference_LowerLevel	Undefined	AIRBUS_E_DEXT_ValidationDate	TRUE	
AIRBUS_E_VPMReference_LowerLevel	Undefined	AIRBUS_E_DEXT_EM_ADAP_DS	TRUE
AIRBUS_E_VPMReference_LowerLevel	Undefined	AIRBUS_E_DEXT_BusinessType	TRUE	
AIRBUS_E_VPMReference_LowerLevel	Undefined	AIRBUS_E_DEXT_Identification	TRUE	
VPMReference	Undefined	AIRBUS_E_DEXT_EPASSY	TRUE
AIRBUS_E_VPMReference_LowerLevel	Undefined	AIRBUS_E_DEXT_ReferenceStatus	TRUE	
AIRBUS_E_VPMReference_LowerLevel	FTA	AIRBUS_E_DEXT_EPASSY	TRUE	
AIRBUS_E_VPMReference_LowerLevel	FTA	AIRBUS_E_DEXT_ValidationDate	TRUE	
AIRBUS_E_VPMReference_LowerLevel	FTA	AIRBUS_E_DEXT_ReferenceStatus	TRUE	
AIRBUS_E_VPMReference_LowerLevel	FTA	AIRBUS_E_DEXT_EPASSY_PRE_POST_COMMON_ADAP	
