AttrName	AttrValuesDocument	AttrComboboxType	AttrTab	ShowDescription	MultiValue
AIRBUS_E_FST_INSTANCE_DEFINITION_ORIENTATION_Head_Side	FST_INSTANCE_HEADSIDE_Values	AuthorizedValues	HEAD_SIDE		
AIRBUS_E_FST_INSTANCE_DEFINITION_WET_Installation_Condition	FST_INSTANCE_INSTALLCONDITION_Values	AuthorizedValues	INSTALLATION		
AIRBUS_E_FST_INSTANCE_DEFINITION_OVERCOAT_Overcoating_Both_Side	Eurodrone_FST_INSTANCE_BONDINGPTCODE_Values	HelpValues	BONDING_PT_CODE_BOTH_SIDE	1	1
AIRBUS_E_FST_INSTANCE_DEFINITION_OVERCOAT_Overcoating_Head_Side	Eurodrone_FST_INSTANCE_BONDINGPTCODE_Values	HelpValues	BONDING_PT_CODE_BOTH_SIDE	1	1
AIRBUS_E_FST_INSTANCE_DEFINITION_OVERCOAT_Overcoating_Tail_Side	Eurodrone_FST_INSTANCE_BONDINGPTCODE_Values	HelpValues	BONDING_PT_CODE_BOTH_SIDE	1	1
AIRBUS_E_FST_INSTANCE_DFM_FSTHEADSIDE	FST_INSTANCE_HEADSIDE_Values	AuthorizedValues	HEAD_SIDE		
AIRBUS_E_FST_INSTANCE_STUDY_FSTHEADSIDE	FST_INSTANCE_HEADSIDE_Values	AuthorizedValues	HEAD_SIDE		
AIRBUS_E_FST_INSTANCE_DFM_FSTINSTALLCONDITION	FST_INSTANCE_INSTALLCONDITION_Values	AuthorizedValues	INSTALLATION		
AIRBUS_E_FST_INSTANCE_DFM_FSTOVERCOATINGBOTHSIDE	Eurodrone_FST_INSTANCE_BONDINGPTCODE_Values	HelpValues	BONDING_PT_CODE_BOTH_SIDE	1	1
AIRBUS_E_FST_INSTANCE_DFM_FSTOVERCOATINGHEADSIDE	Eurodrone_FST_INSTANCE_BONDINGPTCODE_Values	HelpValues	BONDING_PT_CODE_BOTH_SIDE	1	1
AIRBUS_E_FST_INSTANCE_DFM_FSTOVERCOATINGTAILSIDE	Eurodrone_FST_INSTANCE_BONDINGPTCODE_Values	HelpValues	BONDING_PT_CODE_BOTH_SIDE	1	1
AIRBUS_E_FST_INSTANCE_DFM_FSTDRILLINGOPERATION	Eurodrone_FST_INSTANCE_DRILLINGOPERATION_Values	AuthorizedValues	DRILLING_OPERATION_PREFIX		
AIRBUS_E_FST_INSTANCE_DEFINITION_DRILL_Drilling_Operation	Eurodrone_FST_INSTANCE_DRILLINGOPERATION_Values	AuthorizedValues	DRILLING_OPERATION_PREFIX		
AIRBUS_E_FST_INSTANCE_STUDY_FSTDRILLINGOPERATION	Eurodrone_FST_INSTANCE_DRILLINGOPERATION_Values	AuthorizedValues	DRILLING_OPERATION_PREFIX		
AIRBUS_E_FST_INSTANCE_DFM_FSTDRILLINGOPERATIONABSHEADTYPE	Eurodrone_FST_INSTANCE_DRILLINGOPERATIONABSHEADTYPE_Values	AuthorizedValues	DRILLING_OPERATION_ABS_HEAD_TYP		
AIRBUS_E_FST_INSTANCE_DEFINITION_DRILL_Head_Type	Eurodrone_FST_INSTANCE_DRILLINGOPERATIONABSHEADTYPE_Values	AuthorizedValues	DRILLING_OPERATION_ABS_HEAD_TYP		
AIRBUS_E_FST_INSTANCE_STUDY_FSTDRILLINGOPERATIONABSHEADTYPE	Eurodrone_FST_INSTANCE_DRILLINGOPERATIONABSHEADTYPE_Values	AuthorizedValues	DRILLING_OPERATION_ABS_HEAD_TYP		
AIRBUS_E_FST_INSTANCE_DFM_FSTDRILLINGOPERATIONABSHOLETC	Eurodrone_FST_INSTANCE_DRILLINGOPERATIONABSHOLETC_Values	AuthorizedValues	DRILLING_OPERATION_ABS_HOLE_TOL		
AIRBUS_E_FST_INSTANCE_DEFINITION_DRILL_Hole_Tolerance_Code	Eurodrone_FST_INSTANCE_DRILLINGOPERATIONABSHOLETC_Values	AuthorizedValues	DRILLING_OPERATION_ABS_HOLE_TOL		
AIRBUS_E_FST_INSTANCE_STUDY_FSTDRILLINGOPERATIONABSHOLETC	Eurodrone_FST_INSTANCE_DRILLINGOPERATIONABSHOLETC_Values	AuthorizedValues	DRILLING_OPERATION_ABS_HOLE_TOL		
AIRBUS_E_FST_INSTANCE_DFM_FSTDRILLINGOPERATIONABSSPO	Eurodrone_FST_INSTANCE_DRILLINGOPERATIONABSSPO_Values	AuthorizedValues	DRILLING_OPERATION_ABS_SPOT		
AIRBUS_E_FST_INSTANCE_DEFINITION_DRILL_Spot	Eurodrone_FST_INSTANCE_DRILLINGOPERATIONABSSPO_Values	AuthorizedValues	DRILLING_OPERATION_ABS_SPOT		
AIRBUS_E_FST_INSTANCE_STUDY_FSTDRILLINGOPERATIONABSSPO	Eurodrone_FST_INSTANCE_DRILLINGOPERATIONABSSPO_Values	AuthorizedValues	DRILLING_OPERATION_ABS_SPOT		
AIRBUS_E_FST_INSTANCE_DFM_FSTDRILLINGOPERATIONABSOVERSIZE	Eurodrone_FST_INSTANCE_DRILLINGOPERATIONABSOVERSIZE_Values	AuthorizedValues	DRILLING_OPERATION_ABS_OVERSIZE		
AIRBUS_E_FST_INSTANCE_DEFINITION_DRILL_Oversize	Eurodrone_FST_INSTANCE_DRILLINGOPERATIONABSOVERSIZE_Values	AuthorizedValues	DRILLING_OPERATION_ABS_OVERSIZE		
AIRBUS_E_FST_INSTANCE_STUDY_FSTDRILLINGOPERATIONABSOVERSIZE	Eurodrone_FST_INSTANCE_DRILLINGOPERATIONABSOVERSIZE_Values	AuthorizedValues	DRILLING_OPERATION_ABS_OVERSIZE		
AIRBUS_E_FST_INSTANCE_DFM_FSTDRILLINGOPERATIONNSAMATERIAL	Eurodrone_FST_INSTANCE_DRILLINGOPERATIONNSAMATERIAL_Values	AuthorizedValues	DRILLING_OPERATION_NSA_MATERIAL		
AIRBUS_E_FST_INSTANCE_DEFINITION_DRILL_Material	Eurodrone_FST_INSTANCE_DRILLINGOPERATIONNSAMATERIAL_Values	AuthorizedValues	DRILLING_OPERATION_NSA_MATERIAL		
AIRBUS_E_FST_INSTANCE_STUDY_FSTDRILLINGOPERATIONNSAMATERIAL	Eurodrone_FST_INSTANCE_DRILLINGOPERATIONNSAMATERIAL_Values	AuthorizedValues	DRILLING_OPERATION_NSA_MATERIAL		
AIRBUS_E_FST_INSTANCE_DFM_FSTDRILLINGOPERATIONNSATABLESEL	Eurodrone_FST_INSTANCE_DRILLINGOPERATIONNSATABLESEL_Values	AuthorizedValues	DRILLING_OPERATION_NSA_TABLE_SE	1	
AIRBUS_E_FST_INSTANCE_DEFINITION_DRILL_Table_selection	Eurodrone_FST_INSTANCE_DRILLINGOPERATIONNSATABLESEL_Values	AuthorizedValues	DRILLING_OPERATION_NSA_TABLE_SE	1	
AIRBUS_E_FST_INSTANCE_STUDY_FSTDRILLINGOPERATIONNSATABLESEL	Eurodrone_FST_INSTANCE_DRILLINGOPERATIONNSATABLESEL_Values	AuthorizedValues	DRILLING_OPERATION_NSA_TABLE_SE	1	
AIRBUS_E_FST_INSTANCE_DFM_FSTBONDINGPROCESSCODEBOTHSIDE	Eurodrone_FST_INSTANCE_BONDINGPROCESSCODE_Values	AuthorizedValues	BONDING_PROCESS_CODE_BOTH_SIDE	1	
AIRBUS_E_FST_INSTANCE_DFM_FSTBONDINGPROCESSCODEHEADSIDE	Eurodrone_FST_INSTANCE_BONDINGPROCESSCODE_Values	AuthorizedValues	BONDING_PROCESS_CODE_BOTH_SIDE	1	
AIRBUS_E_FST_INSTANCE_DFM_FSTBONDINGPROCESSCODETAILSIDE	Eurodrone_FST_INSTANCE_BONDINGPROCESSCODE_Values	AuthorizedValues	BONDING_PROCESS_CODE_BOTH_SIDE	1	
AIRBUS_E_FST_INSTANCE_DFM_FSTBONDINGPCMCODEBOTHSIDEV1	Eurodrone_FST_INSTANCE_BONDINGPCMCODEP_Values	AuthorizedValues	BONDING_PCM_CODE_BOTH_SIDE_V1		
AIRBUS_E_FST_INSTANCE_DFM_FSTBONDINGPCMCODEHEADSIDEV1	Eurodrone_FST_INSTANCE_BONDINGPCMCODEP_Values	AuthorizedValues	BONDING_PCM_CODE_BOTH_SIDE_V1		
AIRBUS_E_FST_INSTANCE_DFM_FSTBONDINGPCMCODETAILSIDEV1	Eurodrone_FST_INSTANCE_BONDINGPCMCODEP_Values	AuthorizedValues	BONDING_PCM_CODE_BOTH_SIDE_V1		
AIRBUS_E_FST_INSTANCE_DFM_FSTBONDINGPCMCODEBOTHSIDEV2	Eurodrone_FST_INSTANCE_BONDINGPCMCODEC_Values	AuthorizedValues	BONDING_PCM_CODE_BOTH_SIDE_V2		
AIRBUS_E_FST_INSTANCE_DFM_FSTBONDINGPCMCODEHEADSIDEV2	Eurodrone_FST_INSTANCE_BONDINGPCMCODEC_Values	AuthorizedValues	BONDING_PCM_CODE_BOTH_SIDE_V2		
AIRBUS_E_FST_INSTANCE_DFM_FSTBONDINGPCMCODETAILSIDEV2	Eurodrone_FST_INSTANCE_BONDINGPCMCODEC_Values	AuthorizedValues	BONDING_PCM_CODE_BOTH_SIDE_V2		
AIRBUS_E_FST_INSTANCE_DFM_FSTBONDINGPCMCODEBOTHSIDEV3	Eurodrone_FST_INSTANCE_BONDINGPCMCODEM_Values	AuthorizedValues	BONDING_PCM_CODE_BOTH_SIDE_V3		
AIRBUS_E_FST_INSTANCE_DFM_FSTBONDINGPCMCODEHEADSIDEV3	Eurodrone_FST_INSTANCE_BONDINGPCMCODEM_Values	AuthorizedValues	BONDING_PCM_CODE_BOTH_SIDE_V3		
AIRBUS_E_FST_INSTANCE_DFM_FSTBONDINGPCMCODETAILSIDEV3	Eurodrone_FST_INSTANCE_BONDINGPCMCODEM_Values	AuthorizedValues	BONDING_PCM_CODE_BOTH_SIDE_V3		
AIRBUS_E_FST_INSTANCE_DFM_FSTBONDINGPTCODEBOTHSIDE	Eurodrone_FST_INSTANCE_BONDINGPTCODE_Values	HelpValues	BONDING_PT_CODE_BOTH_SIDE	1	1
AIRBUS_E_FST_INSTANCE_DFM_FSTBONDINGPTCODEHEADSIDE	Eurodrone_FST_INSTANCE_BONDINGPTCODE_Values	HelpValues	BONDING_PT_CODE_BOTH_SIDE	1	1
AIRBUS_E_FST_INSTANCE_DFM_FSTBONDINGPTCODETAILSIDE	Eurodrone_FST_INSTANCE_BONDINGPTCODE_Values	HelpValues	BONDING_PT_CODE_BOTH_SIDE	1	1
AIRBUS_E_FST_INSTANCE_DEFINITION_BND_Process_Code_Both_Side1	Eurodrone_FST_INSTANCE_BONDINGPROCESSCODE_Values	HelpValues	BONDING_PROCESS_CODE_BOTH_SIDE	1	1
AIRBUS_E_FST_INSTANCE_DEFINITION_BND_Process_Code_Head_Side1	Eurodrone_FST_INSTANCE_BONDINGPROCESSCODE_Values	HelpValues	BONDING_PROCESS_CODE_BOTH_SIDE	1	1
AIRBUS_E_FST_INSTANCE_DEFINITION_BND_Process_Code_Tail_Side1	Eurodrone_FST_INSTANCE_BONDINGPROCESSCODE_Values	HelpValues	BONDING_PROCESS_CODE_BOTH_SIDE	1	1
AIRBUS_E_FST_INSTANCE_DEFINITION_BND_P_Both_Side	Eurodrone_FST_INSTANCE_BONDINGPCMCODEP_Values	AuthorizedValues	BONDING_PCM_CODE_BOTH_SIDE_V1		
AIRBUS_E_FST_INSTANCE_DEFINITION_BND_P_Head_Side	Eurodrone_FST_INSTANCE_BONDINGPCMCODEP_Values	AuthorizedValues	BONDING_PCM_CODE_BOTH_SIDE_V1		
AIRBUS_E_FST_INSTANCE_DEFINITION_BND_P_Tail_Side	Eurodrone_FST_INSTANCE_BONDINGPCMCODEP_Values	AuthorizedValues	BONDING_PCM_CODE_BOTH_SIDE_V1		
