PART NUMBER	EXTRA LENGHT (mm)	Obsolete
ABS2018R0808	14.087	No
ABS0395C1-12	12.190	No
ABS0395C1-32	15.650	No
ABS0395C1-40	16.050	No
ABS0395T1-12	12.190	No
ABS0395T1-32	15.650	No
ABS0395T1-40	16.050	No
ABS1033-1010	4.380	No
ABS1033E1212	4.380	No
ASNA3759V04	15.940	No
ASNA3759V05	18.460	No
ASNA3759V06	19.430	No
ASNA3759V08	22.070	No
ASNA3759V10	24.100	No
ASNA3759V12	22.080	No
ASNA3759V16	24.270	No
ASNA3759V20	25.070	No
ASNA3759V24	26.850	No
ASNA3759VA04	15.940	No
ASNA3759VA05	18.460	No
ASNA3759VA06	19.430	No
ASNA3759VA08	22.070	No
ASNA3759VA10	24.100	No
ASNA3759VA12	22.080	No
ASNA3759VA16	24.270	No
ASNA3759VN20	25.070	No
ASNA3759VN24	26.850	No
ASNA3760GVC20	21.080	No
ASNA3760GVC24	26.670	No
ASNA3760V04	16.080	No
ASNA3760V05	18.460	No
ASNA3760V06	19.770	No
ASNA3760V08	22.170	No
ASNA3760V10	24.540	No
ASNA3760V12	22.400	No
ASNA3760V16	21.080	No
ASNA3760V20	21.080	No
ASNA3760V24	26.670	No
ASNA3760VA04	16.080	No
ASNA3760VA05	18.460	No
ASNA3760VA06	19.770	No
ASNA3760VA08	22.170	No
ASNA3760VA10	24.540	No
ASNA3760VA12	22.400	No
ASNA3760VA16	21.080	No
ASNA3760VA20	21.080	No
ASNA3760VA24	26.670	No
ASNA3764-0304	3.680	No
ASNA3764-0406	4.010	No
ASNA3764-0504	3.680	No
ASNA3764-0604	3.680	No
ASNA3764-0608	4.480	No
ASNA3764-0806	4.010	No
ASNA3764-0810	4.380	No
ASNA3764-1006	4.010	No
ASNA3764-1008	4.480	No
ASNA3764-1012	4.380	No
ASNA3764-1208	4.480	No
ASNA3764-1210	4.380	No
ASNA3764-1216	4.730	No
ASNA3764-1612	4.380	No
ASNA3764E0304	3.680	No
ASNA3764E0406	4.010	No
ASNA3764E0504	3.680	No
ASNA3764E0604	3.680	No
ASNA3764E0608	4.480	No
ASNA3764E0806	4.010	No
ASNA3764E0810	4.380	No
ASNA3764E1006	4.010	No
ASNA3764E1008	4.480	No
ASNA3764E1012	4.380	No
ASNA3764E1208	4.480	No
ASNA3764E1210	4.380	No
ASNA3764E1216	4.730	No
ASNA3764E1612	4.380	No
ASNA3765-04	3.680	No
ASNA3765-06	4.010	No
ASNA3765-08	4.480	No
ASNA3765-10	4.380	No
ASNA3765-12	4.380	No
ASNA3765-16	4.730	No
ASNA3765-24	4.560	No
ASNA3765E04	3.680	No
ASNA3765E06	4.010	No
ASNA3765E08	4.480	No
ASNA3765E10	4.380	No
ASNA3765E12	4.380	No
ASNA3765E16	4.730	No
ASNA3765E24	4.560	No
ASNA3766-06	7.150	No
ASNA3766-08	11.740	No
ASNA3766-10	10.180	No
ASNA3766-12	9.900	No
ASNA3767-04	0.370	No
ASNA3767-06	0.700	No
ASNA3767-08	1.170	No
ASNA3767-10	1.070	No
ASNA3767-12	1.070	No
ASNA3767E04	0.370	No
ASNA3767E06	0.700	No
ASNA3767E08	1.170	No
ASNA3767E10	1.070	No
ASNA3767E12	1.070	No
ASNA3768-0608	4.480	No
ASNA3768-0810	4.380	No
ASNA3768-1012	4.380	No
ASNA3768-1210	4.380	No
ASNA3768-1612	4.380	No
ASNA3768E0608	4.480	No
ASNA3768E0810	4.380	No
ASNA3768E1012	4.380	No
ASNA3768E1210	4.380	No
ASNA3768E1612	4.380	No
NSA855006-10	1.485	No
NSA855006-12	1.485	No
NSA855006-16	1.655	No
NSA855006-20	1.560	No
NSA855006-24	1.575	No
NSA855006-4	1.120	No
NSA855006-5	1.260	No
NSA855006-6	1.285	No
NSA855006-8	1.530	No
NSA855006D10	1.485	No
NSA855006D12	1.485	No
NSA855006D16	1.655	No
NSA855006D20	1.560	No
NSA855006D24	1.575	No
NSA855006D4	1.120	No
NSA855006D5	1.260	No
NSA855006D6	1.285	No
NSA855006D8	1.530	No
NSA855006G10	1.485	No
NSA855006G12	1.485	No
NSA855006G16	1.655	No
NSA855006G20	1.560	No
NSA855006G24	1.575	No
NSA855006G4	1.120	No
NSA855006G5	1.260	No
NSA855006G6	1.285	No
NSA855006G8	1.530	No
NSA855007D12	0.336	No
NSA855008-10	4.380	No
NSA855008-12	4.380	No
NSA855008-16	4.730	No
NSA855008-24	4.560	No
